name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,5047b,1109,1105,,,69.91289932670827,1,699.0,46.67086,6,,"LINESTRING (-111.90408 33.40113,-111.90408 33.40131,-111.90408 33.40176)",
,5051a,1105,3046,,,351.53125821661564,1,699.0,46.67086,6,,"LINESTRING (-111.9041 33.40173,-111.90318 33.40201,-111.90294 33.40204,-111.90215 33.40204,-111.90195 33.40208,-111.90177 33.40217,-111.90159 33.4023,-111.90151 33.40236,-111.90138 33.40242,-111.90131 33.40244,-111.90118 33.40246,-111.90053 33.40246)",
,5051b,3046,1105,,,353.92440098060456,1,699.0,46.67086,6,,"LINESTRING (-111.90053 33.40253,-111.90119 33.40253,-111.90133 33.4025,-111.90141 33.40248,-111.90155 33.40241,-111.90164 33.40235,-111.90182 33.40222,-111.90198 33.40214,-111.90216 33.4021,-111.90295 33.4021,-111.90319 33.40207,-111.90413 33.40179)",
,5053,1106,2651,,,81.72231658803177,6,5994.0,62.76426,4,,"LINESTRING (-111.90912 33.38445,-111.90907 33.38453,-111.90907 33.38462,-111.90906 33.38504,-111.90906 33.38506,-111.90906 33.38518)",
,5054,1106,1155,,,82.22523995393495,4,7196.0,94.95106,1,,"LINESTRING (-111.90912 33.38445,-111.90917 33.3846,-111.90916 33.38506,-111.90916 33.38518)",
,5057a,1107,1110,,,121.5411747994864,1,699.0,40.2335,6,,"LINESTRING (-111.88318 33.37968,-111.88317 33.37978,-111.88315 33.38025,-111.88316 33.38055,-111.88324 33.38076)",
,5057b,1110,1107,,,119.1457755316018,1,699.0,40.2335,6,,"LINESTRING (-111.88331 33.38074,-111.88323 33.38054,-111.88322 33.38025,-111.88325 33.37978,-111.88325 33.37968)",
,5059a,1107,1429,,,106.70066175816697,1,699.0,40.2335,6,,"LINESTRING (-111.88322 33.37971,-111.88335 33.3797,-111.88366 33.37968,-111.88392 33.37967,-111.88436 33.37969)",
,5059b,1429,1107,,,107.53776094971572,1,699.0,40.2335,6,,"LINESTRING (-111.88436 33.37962,-111.88392 33.37961,-111.88365 33.37962,-111.88334 33.37964,-111.88321 33.37964)",
,5061a,1108,2692,,,147.34775708785693,1,699.0,40.2335,6,,"LINESTRING (-111.91286 33.41839,-111.9129 33.41832,-111.91291 33.41707)",
,5061b,2692,1108,,,143.5914433083312,1,699.0,40.2335,6,,"LINESTRING (-111.91283 33.41707,-111.91283 33.41831,-111.91279 33.41836)",
,5065a,1108,2693,,,233.69431636492584,1,699.0,40.2335,6,,"LINESTRING (-111.91282 33.41834,-111.91231 33.41834,-111.91222 33.41834,-111.91183 33.41835,-111.91183 33.41707)",
,5065b,2693,1108,,,247.7191244349883,1,699.0,40.2335,6,,"LINESTRING (-111.91175 33.41707,-111.91176 33.41841,-111.91222 33.41841,-111.91231 33.41841,-111.91282 33.4184)",
,5067a,1108,1994,,,173.8127637367685,1,699.0,40.2335,6,,"LINESTRING (-111.91282 33.4184,-111.91341 33.4184,-111.91469 33.4184)",
,5067b,1994,1108,,,173.8127176484261,1,699.0,40.2335,6,,"LINESTRING (-111.91469 33.41834,-111.91341 33.41834,-111.91282 33.41834)",
,5077a,1111,1112,,,77.6787567496379,1,699.0,40.2335,6,,"LINESTRING (-111.98791 33.38339,-111.98873 33.38328)",
,5077b,1112,1111,,,77.6787567496379,1,699.0,40.2335,6,,"LINESTRING (-111.98872 33.38321,-111.98789 33.38333)",
,5079a,1111,3133,,,21.94047519406333,1,699.0,40.2335,6,,"LINESTRING (-111.98786 33.38337,-111.98791 33.38356)",
,5079b,3133,1111,,,21.94047519406333,1,699.0,40.2335,6,,"LINESTRING (-111.98798 33.38355,-111.98794 33.38335)",
,5081a,1111,3263,,,42.72759766104032,1,699.0,40.2335,6,,"LINESTRING (-111.98794 33.38335,-111.98786 33.38297)",
,5081b,3263,1111,,,42.72759766104032,1,699.0,40.2335,6,,"LINESTRING (-111.98779 33.38298,-111.98786 33.38336)",
,5085a,1112,3260,,,36.07402666926045,1,699.0,40.2335,6,,"LINESTRING (-111.98876 33.38324,-111.98871 33.38292)",
,5085b,3260,1112,,,36.07402666926045,1,699.0,40.2335,6,,"LINESTRING (-111.98864 33.38293,-111.98869 33.38325)",
,5087a,1112,1962,,,20.123346171812734,1,699.0,40.2335,6,,"LINESTRING (-111.98869 33.38325,-111.98872 33.38343)",
,5087b,1962,1112,,,20.123346171812734,1,699.0,40.2335,6,,"LINESTRING (-111.9888 33.38342,-111.98876 33.38324)",
,5089a,1113,1116,,,84.10421380628368,1,699.0,46.67086,6,,"LINESTRING (-111.90416 33.39886,-111.90416 33.39849,-111.90416 33.3981)",
,5089b,1116,1113,,,84.10485768145448,1,699.0,46.67086,6,,"LINESTRING (-111.90409 33.3981,-111.90408 33.39849,-111.90408 33.39886)",
